"Pathways"	"Common-Name"
PWY-112	"lupeol biosynthesis"
PWY-6109	"mangrove triterpenoid biosynthesis"
PWY66-162	"ethanol degradation IV"
PWY-6426	"uracil degradation II (oxidative)"
PWY-7466	"acetone degradation III (to propane-1,2-diol)"
PWY-7463	"<i>N</i>-methylanthraniloyl-&beta;-<i>D</i>-glucopyranose biosynthesis"
PWY-7084	"nitrifier denitrification"
PWY-7698	"2,5-xylenol and 3,5-xylenol degradation"
PWY0-1471	"uracil degradation III"
PWY-5172	"acetyl-CoA biosynthesis III (from citrate)"
PWY-7861	"L-pipecolate biosynthesis"
PWY-5674	"nitrate reduction IV (dissimilatory)"
HOMOSER-THRESYN-PWY	"L-threonine biosynthesis"
PWY-6970	"acetyl-CoA biosynthesis II (NADP-dependent pyruvate dehydrogenase)"
PWY-8076	"8-<i>O</i>-methylated benzoxazinoid glucoside biosynthesis"
PWY0-1347	"NADH to trimethylamine <i>N</i>-oxide electron transfer"
PWY-7634	"vernolate biosynthesis II"
PWY-5173	"superpathway of acetyl-CoA biosynthesis"
PWY-5961	"superpathway of aflatoxin biosynthesis"
PWY0-1355	"formate to trimethylamine <i>N</i>-oxide electron transfer"
PWY-6917	"vernolate biosynthesis III"
PWY-5677	"succinate fermentation to butanoate"
PWY-6808	"dTDP-D-forosamine biosynthesis"
PWY0-1576	"hydrogen to fumarate electron transfer"
PWY-6014	"vernolate biosynthesis I"
PWY-5676	"acetyl-CoA fermentation to butanoate II"
PWY-7493	"paxilline and diprenylpaxilline biosynthesis"
PWY0-1581	"nitrate reduction IX (dissimilatory)"
PWY-2345	"genistein conjugates interconversion"
GLUDEG-II-PWY	"L-glutamate degradation VII (to butanoate)"
PWY-7910	"homofuraneol biosynthesis"
DISSULFRED-PWY	"dissimilatory sulfate reduction I (to hydrogen sufide))"
PWY-7044	"5-nitroanthranilate degradation"
PWY-2861	"biochanin A conjugates interconversion"
PWY-6972	"oleandomycin activation/inactivation"
PWY-5022	"4-aminobutanoate degradation V"
PWY-6068	"indican biosynthesis"
PWY-6748	"nitrate reduction VII (denitrification)"
PWY-7628	"2,4-dinitroanisole degradation"
PWY-2343	"daidzein conjugates interconversion"
PWY-2701	"maackiain conjugates interconversion"
PWY-6920	"6-gingerol analog biosynthesis (engineered)"
PWY0-1585	"formate to nitrite electron transfer"
PWY-7403	"tetramethylpyrazine degradation"
PWY-5641	"2-nitrotoluene degradation"
PWY-5114	"UDP-sugars interconversion"
PWY-5926	"afrormosin conjugates interconversion"
PWY-7534	"gliotoxin inactivation"
PWY-4601	"arsenate reduction (respiratory)"
PWY-6051	"2,4,6-trinitrotoluene degradation"
PWY-2561	"medicarpin conjugates interconversion"
PWY-2904	"formononetin conjugates interconversion"
PWY-7955	"paerucumarin biosynthesis"
PWY0-1336	"NADH to fumarate electron transfer"
PWY-2381	"4-nitrobenzoate degradation"
PWY-5644	"4-nitrotoluene degradation II"
PWY-4161	"superpathway of benzoxazinoid glucosides biosynthesis"
PWY-6530	"perchlorate reduction"
PWY-5648	"2-nitrobenzoate degradation II"
P421-PWY	"4-nitrotoluene degradation I"
PWY-743	"thiocyanate degradation II"
PWY-6585	"2-methylketone biosynthesis"
PWY0-1352	"nitrate reduction VIII (dissimilatory)"
PWY-5647	"2-nitrobenzoate degradation I"
PWY-7100	"spinosyn A biosynthesis"
P581-PWY	"thiocyanate degradation I"
PWY-6950	"DIMBOA-glucoside biosynthesis"
PWY0-1573	"nitrate reduction VIIIb (dissimilatory)"
PWY-7548	"methylthiolincosamide biosynthesis"
PWY0-1578	"hydrogen to trimethylamine N-oxide electron transfer"
PWY18C3-20	"gentisate 5-<i>O</i>-&beta;-<i>D</i>-xylopyranoside biosynthesis"
PWY-7959	"12-<i>epi</i>-hapalindole biosynthesis"
DENITRIFICATION-PWY	"nitrate reduction I (denitrification)"
PWY-5935	"tuberculosinol biosynthesis"
PWY0-1584	"nitrate reduction X (dissimilatory, periplasmic)"
PWY-5394	"betalamic acid biosynthesis"
PWY-6660	"2-heptyl-3-hydroxy-4(1<i>H</i>)-quinolone biosynthesis"
P303-PWY	"ammonia oxidation II (anaerobic)"
PWY-5403	"betaxanthin biosynthesis (via dopamine)"
PWY-5426	"betaxanthin biosynthesis"
PWY-7687	"stipitatate biosynthesis"
PWY0-1321	"nitrate reduction III (dissimilatory)"
PWY-5400	"amaranthin biosynthesis"
PWY-5405	"superpathway of betalain biosynthesis"
PWY-8007	"staphylopine biosynthesis"
PWY-6529	"chlorate reduction"
PWY-5399	"betacyanin biosynthesis"
PWY-5404	"betaxanthin biosynthesis (via dopaxanthin)"
PWY-5956	"sterigmatocystin biosynthesis"
PWY-5439	"betacyanin biosynthesis (via dopamine)"
PWY-6699	"oxalate biosynthesis"
PWY-6268	"adenosylcobalamin salvage from cobalamin"
PWY-7974	"cobalamin salvage (eukaryotic)"
PWY-7236	"mycocyclosin biosynthesis"
PWY-7971	"adenosylcobinamide-GDP salvage from cobinamide I"
PWY-6269	"superpathway of adenosylcobalamin salvage from cobinamide II"
PWY-7752	"gadusol biosynthesis"
COBALSYN-PWY	"superpathway of adenosylcobalamin salvage from cobinamide I"
PWY-7972	"adenosylcobinamideGDP salvage from cobinamide II"
PWY-8069	"nepetalactone biosynthesis"
PWY-5960	"aflatoxins B<sub>2</sub> and G<sub>2</sub> biosynthesis"
PWY-6802	"salidroside biosynthesis"
BIOTIN-BIOSYNTHESIS-PWY	"biotin biosynthesis I"
PWY0-1507	"biotin biosynthesis from 8-amino-7-oxononanoate I"
PWY-7492	"paspaline biosynthesis"
PWY-7380	"biotin biosynthesis from 8-amino-7-oxononanoate II"
PWY-5005	"biotin biosynthesis II"
PWY-7907	"(2S,3E)-2-amino-4-methoxy-but-3-enoate biosynthesis"
PWY-2221	"Entner-Doudoroff pathway III (semi-phosphorylative)"
NPGLUCAT-PWY	"Entner-Doudoroff pathway II (non-phosphorylative)"
PWY8J2-20	"pulcherrimin biosynthesis"
ENTNER-DOUDOROFF-PWY	"Entner-Doudoroff shunt"
PWY-8004	"Entner-Doudoroff pathway I"
PWY0-541	"cyclopropane fatty acid (CFA) biosynthesis"
PWY-4942	"sterculate biosynthesis"
PWY-5979	"3-amino-5-hydroxybenzoate biosynthesis"
PWY-6839	"2-aminoethylphosphonate biosynthesis"
PWY-7455	"allopregnanolone biosynthesis"
PWY-8027	"parkeol biosynthesis"
PWY66-3	"cholesterol biosynthesis II (via 24,25-dihydrolanosterol)"
PWY-7533	"gliotoxin biosynthesis"
PWY-6032	"cardenolide biosynthesis"
PWY66-5	"superpathway of cholesterol biosynthesis"
PWY-6074	"zymosterol biosynthesis"
PWY-7424	"sterol:steryl ester interconversion (yeast)"
PWY-7954	"tabtoxinine-&beta;-lactam biosynthesis"
PWY-8026	"sterol biosynthesis (methylotrophs)"
PWY18C3-1	"cholesterol biosynthesis (plants)"
PWY66-4	"cholesterol biosynthesis III (via desmosterol)"
PWY-6061	"bile acid biosynthesis, neutral pathway"
PWY-7803	"tRNA splicing II"
PWY-6330	"acetaldehyde biosynthesis II"
PWY-7155	"7-dehydroporiferasterol biosynthesis"
PWY-7588	"ursodeoxycholate biosynthesis (bacteria)"
PWY66-341	"cholesterol biosynthesis I"
PWY-6036	"cardenolide glucosides biosynthesis"
PWY-6689	"tRNA splicing I"
PWY-6949	"DIBOA-glucoside biosynthesis"
PWY-6132	"lanosterol biosynthesis"
PWY-6075	"ergosterol biosynthesis I"
ERGOSTEROL-SYN-PWY	"superpathway of ergosterol biosynthesis I"
PWY-7156	"superpathway of ergosterol biosynthesis II"
PWY-7540	"aflatrem biosynthesis"
PWY-7154	"ergosterol biosynthesis II"
PWY-7255	"ergothioneine biosynthesis I (bacteria)"
PWY-7550	"ergothioneine biosynthesis II (fungi)"
PWY-7958	"12-<i>epi</i>-fischerindole biosynthesis"
PWY-3881	"mannitol biosynthesis"
PWY-5826	"hypoglycin biosynthesis"
PWY-6365	"D-<i>myo</i>-inositol (3,4,5,6)-tetrakisphosphate biosynthesis"
PWY-6369	"inositol diphosphates biosynthesis"
PWY-5338	"galactosylcyclitol biosynthesis"
PWY-5488	"4-nitrophenol degradation II"
PWY-6364	"D-<i>myo</i>-inositol (1,3,4)-trisphosphate biosynthesis"
PWY-6648	"rhamnolipid biosynthesis"
PWY-8078	"quebrachitol biosynthesis"
PWY-2301	"<i>myo</i>-inositol biosynthesis"
PWY-6358	"superpathway of D-<i>myo</i>-inositol (1,4,5)-trisphosphate metabolism"
PWY-5487	"4-nitrophenol degradation I"
PWY-6366	"D-<i>myo</i>-inositol (1,4,5,6)-tetrakisphosphate biosynthesis"
PWY-7599	"anditomin biosynthesis"
PWY-6351	"D-<i>myo</i>-inositol (1,4,5)-trisphosphate biosynthesis"
PWY-7241	"<I>myo</I>-inositol degradation II"
PWY-5636	"2-nitrophenol degradation"
PWY-7862	"D-altritol and galactitol degradation"
PWY-7991	"toxoflavin biosynthesis"
PWYDQC-4	"indole-3-acetate biosynthesis I"
HEXITOLDEGSUPER-PWY	"superpathway of hexitol degradation (bacteria)"
PWY-4101	"D-sorbitol degradation I"
PWY-7237	"<i>myo</i>-, <i>chiro</i>- and <i>scyllo</i>-inositol degradation"
PWY-5025	"indole-3-acetate biosynthesis IV (bacteria)"
PWY-7787	"L-threitol degradation"
PWY-7765	"3-hydroxy-4-methyl-anthranilate biosynthesis II"
PWY-6303	"methyl indole-3-acetate interconversion"
GALACTITOLCAT-PWY	"galactitol degradation"
SORBDEG-PWY	"D-sorbitol degradation II"
MANNIDEG-PWY	"mannitol degradation I"
PWY-3161	"indole-3-acetate biosynthesis III (bacteria)"
PWY-6531	"mannitol cycle"
PWY-7717	"3-hydroxy-4-methyl-anthranilate biosynthesis I"
PWY-581	"indole-3-acetate biosynthesis II"
PWY-7786	"D-threitol degradation"
DARABITOLUTIL-PWY	"D-arabitol degradation"
RIBITOLUTIL-PWY	"ribitol degradation"
PWY-5989	"stearate biosynthesis II (bacteria and plants)"
TRPIAACAT-PWY	"indole-3-acetate biosynthesis VI (bacteria)"
LARABITOLUTIL-PWY	"xylitol degradation"
P562-PWY	"<I>myo</I>-inositol degradation I"
PWY-5026	"indole-3-acetate biosynthesis V (bacteria and fungi)"
PWY-7789	"erythritol degradation I"
PWY-6714	"L-rhamnose degradation III"
PWY-7788	"erythritol degradation II"
PWY-5972	"stearate biosynthesis I (animals)"
PWY-6446	"benzoate biosynthesis III (CoA-dependent, non-&beta;-oxidative)"
RHAMCAT-PWY	"L-rhamnose degradation I"
PWY-6713	"L-rhamnose degradation II"
PWY-6444	"benzoate biosynthesis II (CoA-independent, non-&beta;-oxidative)"
PWY3O-355	"stearate biosynthesis III (fungi)"
PWY-6766	"salicin biosynthesis"
PWY-6443	"benzoate biosynthesis I (CoA-dependent, &beta;-oxidative)"
PWY-6763	"salicortin biosynthesis"
PWY-7808	"tetracycline resistance"
PWY-5493	"reductive monocarboxylic acid cycle"
PWY-7854	"crotonyl-CoA/ethylmalonyl-CoA/hydroxybutyryl-CoA cycle (engineered)"
PWY-7652	"echinocandin B degradation"
PWYQT-4429	"CO<sub>2</sub> fixation into oxaloacetate (anaplerotic)"
PWY-5743	"3-hydroxypropanoate cycle"
PWY-7024	"superpathway of the 3-hydroxypropanoate cycle"
CODH-PWY	"reductive acetyl coenzyme A pathway I (homoacetogenic bacteria)"
PWY-5789	"3-hydroxypropanoate/4-hydroxybutanate cycle"
PWY-7784	"reductive acetyl coenzyme A pathway II (autotrophic methanogens)"
PWY-2503	"benzoate degradation I (aerobic)"
PWY-5430	"<i>meta</i> cleavage pathway of aromatic compounds"
PWY-283	"benzoate degradation II (aerobic and anaerobic)"
PWY-6153	"autoinducer AI-2 biosynthesis I"
PWY-7621	"autoinducer CAI-1 biosynthesis"
PWY-6157	"autoinducer AI-1 biosynthesis"
PWY-6154	"autoinducer AI-2 biosynthesis II (<i>Vibrio</i>)"
PWY-5828	"lacinilene C biosynthesis"
DTDPRHAMSYN-PWY	"dTDP-L-rhamnose biosynthesis"
PWY-5827	"heliocides biosynthesis"
PWY-7439	"dTDP-&beta;-L-evernitrose biosynthesis"
PWY-7087	"2-methylisoborneol biosynthesis"
PWY-6973	"dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis"
PWY-5424	"superpathway of oleoresin turpentine biosynthesis"
PWY-7688	"dTDP-D-ravidosamine and dTDP-4-acetyl-D-ravidosamine biosynthesis"
PWY-6668	"(<i>E,E</i>)-4,8,12-trimethyltrideca-1,3,7,11-tetraene biosynthesis"
BGALACT-PWY	"lactose degradation III"
PWY-7104	"dTDP-L-megosamine biosynthesis"
PWY-6852	"senecionine N-oxide biosynthesis"
LACTOSEUTIL-PWY	"lactose degradation II"
PWY-7315	"dTDP-<i>N</i>-acetylthomosamine biosynthesis"
PWY-7407	"aurachin A, B, C and D biosynthesis"
PWY-7405	"aurachin RE biosynthesis"
PWY-7318	"dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-glucose biosynthesis"
PWY-5366	"palmitoleate biosynthesis II (plants and bacteria)"
PWY-7589	"palmitoleate biosynthesis III (cyanobacteria)"
PWY-6953	"dTDP-3-acetamido-&alpha;-D-fucose biosynthesis"
PWY-6282	"palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)"
PWY-1961	"indole-3-acetate inactivation I"
PWY-7943	"lycopadiene biosynthesis"
PWY-6273	"phosphatidylethanolamine biosynthesis III"
PWY-7657	"dTDP-&beta;-L-digitoxose biosynthesis"
PWY-2021	"indole-3-acetate inactivation IV"
PWY4FS-6	"phosphatidylethanolamine biosynthesis II"
PWY-5797	"indole-3-acetate inactivation VI"
PWY-7409	"phospholipid remodeling (phosphatidylethanolamine, yeast)"
PWY-6976	"dTDP-L-mycarose biosynthesis"
PWY-1782	"superpathway of indole-3-acetate conjugate biosynthesis"
PWY-1981	"indole-3-acetate inactivation III"
PWY-7716	"penicillin G and penicillin V biosynthesis"
PWY-5788	"indole-3-acetate inactivation V"
PWY-7312	"dTDP-D-&beta;-fucofuranose biosynthesis"
PWY-6219	"indole-3-acetate inactivation VIII"
PWY-7956	"3-[(<i>E</i>)-2-isocyanoethenyl]-1<i>H</i>-indole biosynthesis"
PWY0-321	"phenylacetate degradation I (aerobic)"
PWY-7414	"dTDP-&alpha;-D-mycaminose biosynthesis"
PWY-1741	"indole-3-acetate inactivation IX"
PWY-1341	"phenylacetate degradation II (anaerobic)"
PWY-1962	"indole-3-acetate inactivation II"
PWY-5679	"clavulanate biosynthesis"
PWY-6280	"synechoxanthin biosynthesis"
PWY-5784	"indole-3-acetate inactivation VIII"
PWY-6942	"dTDP-D-desosamine biosynthesis"
PWY-5811	"indole-3-acetate inactivation VII"
PWY-6346	"staurosporine biosynthesis"
PWY-7949	"diadinoxanthin and diatoxanthin interconversion"
PWY-7440	"dTDP-&beta;-L-4-<i>epi</i>-vancosamine biosynthesis"
PWY-7020	"superpathway of butirocin biosynthesis"
PWY-6288	"zeaxanthin-&beta;-D-diglucoside biosynthesis"
PWY-7046	"4-coumarate degradation (anaerobic)"
PWY-6974	"dTDP-L-olivose biosynthesis"
PWY-8002	"4-coumarate degradation (aerobic)"
PWY-7569	"arginomycin biosynthesis"
PWY-5174	"capsanthin and capsorubin biosynthesis"
PWY-6667	"resveratrol degradation"
PWY-7814	"dTDP-L-daunosamine biosynthesis"
PWY-7214	"baicalein degradation (hydrogen peroxide detoxification)"
PWY-7734	"quinoxaline-2-carboxylate biosynthesis"
PWY-7175	"nostoxanthin biosynthesis"
PWY-6343	"ferulate degradation"
PWY-7301	"dTDP-4-<i>O</i>-demethyl-&beta;-L-noviose biosynthesis"
PWY-7113	"furcatin degradation"
PWY-8033	"aureothin biosynthesis"
PWY-5291	"canthaxanthin biosynthesis"
PWY-8003	"<i>trans</i>-caffeate degradation (aerobic)"
PWY-7316	"dTDP-<i>N</i>-acetylviosamine biosynthesis"
PWY-5770	"phenazine-1-carboxylate biosynthesis"
PWY-7623	"astaxanthin dirhamnoside biosynthesis"
PWY-7413	"dTDP-6-deoxy-&alpha;-D-allose biosynthesis"
PWY-6679	"jadomycin biosynthesis"
PWY-5945	"violaxanthin, antheraxanthin and zeaxanthin interconversion"
PWY-6461	"peptidoglycan cross-bridge biosynthesis II (E. faecium)"
PWY-6698	"oxalate degradation V"
PWY-6694	"oxalate degradation I"
PWY-6459	"peptidoglycan cross-bridge biosynthesis I (S. aureus)"
PWY-7045	"mithramycin biosynthesis"
PWY-7638	"echinenone and zeaxanthin biosynthesis (<i>Synechocystis</i>)"
PWY-6463	"peptidoglycan cross-bridge biosynthesis IV (Weissella viridescens)"
PWY-6697	"oxalate degradation IV"
PWY-6696	"oxalate degradation III"
PWY-6462	"peptidoglycan cross-bridge biosynthesis III (Enterococcus faecalis)"
PWY-7626	"bacilysin biosynthesis"
PWY-6279	"myxol-2' fucoside biosynthesis"
PWY-7985	"oxalate degradation VI"
PWY-6695	"oxalate degradation II"
PWY-7769	"phosalacine biosynthesis"
PWY-7947	"flexixanthin biosynthesis"
PWY-8036	"chaxamycin biosynthesis"
PWY-6287	"neurosporene biosynthesis"
PWY-5887	"albaflavenone biosynthesis"
CAROTENOID-PWY	"superpathway of carotenoid biosynthesis in plants"
PWY-6721	"sangivamycin biosynthesis"
PWY-6809	"neoxanthin biosynthesis"
PWY-7352	"daunorubicin biosynthesis"
PWY-5288	"astaxanthin biosynthesis (bacteria, fungi, algae)"
PWY-7659	"viridicatumtoxin biosynthesis"
PWY-7591	"okenone biosynthesis"
PWY-7809	"superpathway of tetracycline and oxytetracycline biosynthesis"
PWY-5944	"zeaxanthin biosynthesis"
PWY-8040	"ansatrienin biosynthesis"
PWY-7637	"2,2'-dihydroxyketocarotenoids biosynthesis"
PWY-5940	"streptomycin biosynthesis"
PWY-5947	"lutein biosynthesis"
PWY-6919	"neopentalenoketolactone and pentalenate biosynthesis"
PWY-7940	"lauryl-hydroxychlorobactene glucoside biosynthesis"
LEU-DEG2-PWY	"L-leucine degradation I"
PWY-7767	"L-leucine degradation IV (Stickland reaction)"
PWY-7419	"FR-900098 and FR-33289 antibiotics biosynthesis"
PWY-6286	"spheroidene and spheroidenone biosynthesis"
PWY-5076	"L-leucine degradation III"
PWY-5075	"L-leucine degradation II"
PWY-7670	"fusaridione A biosynthesis"
PWY-7950	"diadinoxanthin and fucoxanthin biosynthesis"
LEUSYN-PWY	"L-leucine biosynthesis"
PWY1F-823	"leucopelargonidin and leucocyanidin biosynthesis"
PWY-7693	"guadinomine B biosynthesis"
PWY-6581	"spirilloxanthin and 2,2'-diketo-spirilloxanthin biosynthesis"
PWY-5152	"leucodelphinidin biosynthesis"
PWY-7812	"tetracycline and oxytetracycline biosynthesis"
PWY-5175	"lactucaxanthin biosynthesis"
PWY-5631	"deacetylcephalosporin C biosynthesis"
PWY-7393	"&beta;-carotene biosynthesis (engineered)"
PWY-7487	"(+)-secoisolariciresinol diglucoside biosynthesis"
PWY-6003	"gramicidin S biosynthesis"
PWY-5943	"&beta;-carotene biosynthesis"
PWY-7631	"arctigenin and isoarctigenin biosynthesis"
PWY-5479	"6-methoxypodophyllotoxin biosynthesis"
PWY-7015	"ribostamycin biosynthesis"
PWY-7636	"astaxanthin biosynthesis (flowering plants)"
PWY-7139	"sesaminol glucoside biosynthesis"
PWY-7630	"hinokinin biosynthesis"
PWY-7485	"tetracenomycin C biosynthesis"
PWY-5946	"&delta;-carotene biosynthesis"
PWY-5469	"sesamin biosynthesis"
PWY-6824	"justicidin B biosynthesis"
PWY-7342	"superpathway of nicotine biosynthesis"
PWY-7706	"dapdiamides biosynthesis"
PWY-7939	"chlorobactene biosynthesis"
PWY-7491	"podophyllotoxin glucosides metabolism"
PWY-5752	"piperine biosynthesis"
PWY-7749	"(-)-4'-demethyl-epipodophyllotoxin biosynthesis"
PWY-8080	"kainate biosynthesis"
PWY-7911	"6'-dechloromelleolide F biosynthesis"
PWY-5397	"crocetin biosynthesis"
PWY-5466	"matairesinol biosynthesis"
PWY-5316	"nicotine biosynthesis"
PWY-6675	"sulfur oxidation IV (intracellular sulfur)"
PWY-6820	"diphyllin biosynthesis"
PWY-8077	"ginkgotoxin biosynthesis"
PWY-5634	"superpathway of penicillin, cephalosporin and cephamycin biosynthesis"
PWY-5305	"bixin biosynthesis"
PWY-5304	"superpathway of sulfur oxidation (<i>Acidianus ambivalens</i>)"
PWY-6345	"K-252 biosynthesis"
PWY-6681	"neurosporaxanthin biosynthesis"
PWY-361	"phenylpropanoid biosynthesis"
PWY-116	"coniferin metabolism"
PWY-7019	"butirosin biosynthesis"
PWY-5398	"crocetin esters biosynthesis"
PWY-83	"monolignol glucosides biosynthesis"
PWY-6302	"dihydroconiferyl alcohol biosynthesis"
PWY-7564	"bacimethrin and bacimethrin pyrophosphate biosynthesis"
PWY-5270	"morphine biosynthesis"
PWY-7733	"3-hydroxyquinaldate biosynthesis"
PWY-5472	"bisbenzylisoquinoline alkaloid biosynthesis"
PWY-6583	"pyruvate fermentation to butanol I"
PWY-7363	"papaverine biosynthesis"
PWY-8032	"chloramphenicol biosynthesis"
PWY-8030	"coptisine biosynthesis"
PWY-6886	"1-butanol autotrophic biosynthesis (engineered)"
PWY-3901	"berberine biosynthesis"
PWY-5757	"fosfomycin biosynthesis"
PWY-6902	"chitin degradation II (Vibrio)"
PWY-5470	"palmatine biosynthesis"
PWY-6855	"chitin degradation I (archaea)"
PWY-7385	"1,3-propanediol biosynthesis (engineered)"
PWY-6337	"dehydroscoulerine biosynthesis"
PWY-6666	"pyocyanin biosynthesis"
PWY-5742	"L-arginine degradation IX (arginine:pyruvate transaminase pathway)"
PWY-7522	"(<i>R</i>)-canadine biosynthesis"
PWY-7822	"chitin degradation III (Serratia)"
PWY-6906	"chitin derivatives degradation"
PWY-6130	"glycerol degradation III"
PWY-5287	"sanguinarine and macarpine biosynthesis"
PWY-7025	"gentamicin biosynthesis"
ARG-GLU-PWY	"L-arginine degradation VII (arginase 3 pathway)"
PWY-5876	"magnoflorine biosynthesis"
PWY-5726	"deethylsimazine degradation"
PWY-6883	"pyruvate fermentation to butanol II (engineered)"
PWY-7507	"chelerythrine biosynthesis"
PWY-5171	"<i>N</i>-cyclopropylmelamine degradation"
PWY-7575	"superpathway of candicidin biosynthesis"
ARGDEG-III-PWY	"L-arginine degradation IV (arginine decarboxylase/agmatine deiminase pathway)"
PWY-8031	"epiberberine biosynthesis"
PWY-6081	"1,3-dichlorobenzene degradation"
PWY-6091	"1,2,4-trichlorobenzene degradation"
PWY-7541	"1,2-propanediol biosynthesis from lactate (engineered)"
PWY-7650	"echinocandin B biosynthesis"
PWY-5170	"melamine degradation"
PWY-7737	"thiocoraline biosynthesis"
ARGDEG-V-PWY	"L-arginine degradation X (arginine monooxygenase pathway)"
ILEUSYN-PWY	"L-isoleucine biosynthesis I (from threonine)"
14DICHLORBENZDEG-PWY	"1,4-dichlorobenzene degradation"
PWY-6090	"1,2-dichlorobenzene degradation"
PWY-7003	"glycerol degradation to butanol"
PWY-5103	"L-isoleucine biosynthesis III"
P141-PWY	"atrazine degradation I (aerobic)"
PWY-8035	"streptovaricin biosynthesis"
AST-PWY	"L-arginine degradation II (AST pathway)"
PWY-5101	"L-isoleucine biosynthesis II"
PWY-6083	"chlorobenzene degradation"
PWY-6099	"1,2,4,5-tetrachlorobenzene degradation"
PWY-7396	"butanol and isobutanol biosynthesis (engineered)"
PWY-5108	"L-isoleucine biosynthesis V"
PWY-5731	"atrazine degradation III"
PWY-5818	"validamycin biosynthesis"
PWY-5024	"L-arginine degradation XI"
PWY-3001	"superpathway of L-isoleucine biosynthesis I"
PWY-5724	"superpathway of atrazine degradation"
PWY-5727	"atrazine degradation II"
PWY-1361	"benzoyl-CoA degradation I (aerobic)"
PWY-5104	"L-isoleucine biosynthesis IV"
P321-PWY	"benzoyl-CoA degradation III (anaerobic)"
PWY-6720	"toyocamycin biosynthesis"
PWY0-823	"L-arginine degradation III (arginine decarboxylase/agmatinase pathway)"
PWY-6244	"bergamotene biosynthesis II"
PWY-5078	"L-isoleucine degradation II"
CENTBENZCOA-PWY	"benzoyl-CoA degradation II (anaerobic)"
PWY-5098	"chlorophyll <i>a</i> degradation I"
PWY-6243	"bergamotene biosynthesis I"
ILEUDEG-PWY	"L-isoleucine degradation I"
PWY-7287	"novobiocin biosynthesis"
ARGASEDEG-PWY	"L-arginine degradation I (arginase pathway)"
PWY-5311	"L-lysine degradation VII"
PWY-7164	"chlorophyll <i>a</i> degradation III"
PWY-6927	"chlorophyll <i>a</i> degradation II"
PWY-5326	"sulfite oxidation IV"
PWY-5327	"superpathway of L-lysine degradation"
PWY-5279	"sulfite oxidation II"
PWY-7655	"dechlorogriseofulvin biosynthesis"
ARGDEG-PWY	"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation"
PWY66-425	"L-lysine degradation II (L-pipecolate pathway)"
PWY-5278	"sulfite oxidation III"
PWY-5298	"L-lysine degradation VI"
PWY-7797	"nocardicin A biosynthesis"
ARGORNPROST-PWY	"L-arginine degradation (Stickland reaction)"
PWY-5297	"siroheme amide biosynthesis"
PWY-5324	"L-lysine degradation IX"
PWY-5194	"siroheme biosynthesis"
PWY0-461	"L-lysine degradation I"
PWY-8039	"mitomycin biosynthesis"
PWY-4983	"nitric oxide biosynthesis II (mammals)"
LYSINE-DEG1-PWY	"L-lysine degradation XI (mammalian)"
PWY-5283	"L-lysine degradation V"
PWY-5930	"terpentecin biosynthesis"
PWY-7523	"L-arginine degradation XII"
PWY-7758	"bacteriochlorophyll <i>d</i> biosynthesis"
PWY-5314	"L-lysine degradation VIII"
PWY-7762	"bacteriochlorophyll <i>b</i> biosynthesis"
PWY-6328	"L-lysine degradation X"
PWY-6915	"pentalenolactone biosynthesis"
ARG-PRO-PWY	"L-arginine degradation VI (arginase 2 pathway)"
PWY-5526	"bacteriochlorophyll <i>a</i> biosynthesis"
LYSDEGII-PWY	"L-lysine degradation III"
PWY-7760	"bacteriochlorophyll <i>e</i> biosynthesis"
PWY-5280	"L-lysine degradation IV"
PWY-7355	"doxorubicin biosynthesis"
ARGDEG-IV-PWY	"L-arginine degradation VIII (arginine oxidase pathway)"
PWY-7759	"bacteriochlorophyll <i>c</i> biosynthesis"
PWY-5529	"superpathway of bacteriochlorophyll <i>a</i> biosynthesis"
PWY-5729	"vestitol and sativan biosynthesis"
PWY-7669	"equisetin biosynthesis"
ARGDEGRAD-PWY	"L-arginine degradation V (arginine deiminase pathway)"
PWY-5086	"chlorophyll <i>a</i> biosynthesis I"
PWY-2464	"(-)-maackiain biosynthesis"
PWY-5068	"chlorophyll cycle"
PWY-7633	"calycosin 7-<i>O</i>-glucoside biosynthesis"
PWY-7690	"holomycin biosynthesis"
ORNARGDEG-PWY	"superpathway of L-arginine and L-ornithine degradation"
PWY-7764	"chlorophyll <i>a</i> biosynthesis III"
PWY-2055	"superpathway of pterocarpan biosynthesis (via daidzein)"
PWY-5064	"chlorophyll <i>a</i> biosynthesis II"
PWY-6043	"ethanedisulfonate degradation"
PWY-3097	"superpathway of isoflavonoids (via naringenin)"
PWY-6058	"dimethyl sulfone degradation"
PWY-7811	"6-methylpretetramide biosynthesis"
ARGSYN-PWY	"L-arginine biosynthesis I (via L-ornithine)"
PWY-5531	"3,8-divinyl-chlorophyllide <i>a</i> biosynthesis II (anaerobic)"
PWY-2321	"formononetin biosynthesis"
CHLOROPHYLL-SYN	"3,8-divinyl-chlorophyllide <i>a</i> biosynthesis I (aerobic, light-dependent)"
PWY-6435	"4-hydroxybenzoate biosynthesis III (plants)"
PWY-6736	"sulfur volatiles biosynthesis"
PWY-5061	"6,7,4'-trihydroxyisoflavone biosynthesis"
PWY-5630	"penicillin K biosynthesis"
